Township,Area,State,Tenure,Type,Median_Price,Median_PSF,Transactions,Price_per_Transaction,HighDemand,PriceTier,Freehold_Flag,Is_Central,Log_Median_Price,Log_Median_PSF,Area_Transaction_Intensity,State_Price_Tier,Township_Uniqueness_Index,Price_to_PSF_Ratio,Tenure_Type_Interaction,Is_Capital_City,Transaction_Volume_Flag
TAMAN KOTA SRI AHMAD SHAH,Kuantan,Pahang,Leasehold,Terrace House,582222.0,334.0,84,6849.670588235294,1,Medium,0,0,13.274608814837976,5.814130531825066,High,Tier 3: Low-Cost State,2,1743.179640718563,Leasehold_Terrace House,0,High_Volume
TAMAN MESRA IMPIAN,Kampar,Perak,Leasehold,Terrace House,300000.0,214.0,83,3571.4285714285716,1,Low,0,0,12.611541086966115,5.3706380281276624,Medium,Tier 3: Low-Cost State,2,1401.8691588785048,Leasehold_Terrace House,0,High_Volume
S2 HEIGHTS,Seremban 2,Negeri Sembilan,Freehold,Terrace House,775800.0,464.0,83,9235.714285714286,1,High,1,0,13.56165132297918,6.142037405587356,Low,Tier 2: Medium-Cost State,2,1671.9827586206898,Freehold_Terrace House,0,High_Volume
TAMAN SERI MAHKOTA,Sitiawan,Perak,Freehold,Terrace House,250000.0,179.0,82,3012.0481927710844,1,Low,1,0,12.429220196836383,5.19295685089021,High,Tier 3: Low-Cost State,2,1396.6480446927374,Freehold_Terrace House,0,High_Volume
TAMAN KINDING AKASIA,Ipoh,Perak,Leasehold,Terrace House,260000.0,186.0,82,3132.5301204819275,1,Low,0,0,12.468440756144114,5.231108616854587,High,Tier 3: Low-Cost State,2,1397.8494623655913,Leasehold_Terrace House,0,High_Volume
TAMAN SHOREA HARTAMAS,Pasir Panjang,Negeri Sembilan,Freehold,Terrace House,250000.0,183.0,82,3012.0481927710844,1,Low,1,0,12.429220196836383,5.214935757608986,Medium,Tier 2: Medium-Cost State,2,1366.120218579235,Freehold_Terrace House,0,High_Volume
PRIMA D'MARINA,Kuantan,Pahang,Leasehold,Terrace House,431167.0,271.0,82,5194.78313253012,1,Medium,0,0,12.974253084320331,5.605802066295998,High,Tier 3: Low-Cost State,2,1591.0221402214022,Leasehold_Terrace House,0,High_Volume
BUKIT JELUTONG,Shah Alam,Selangor,Freehold,"Semi D, Terrace House, Bungalow",980000.0,437.0,81,11951.219512195123,1,High,1,0,13.795308871054397,6.082218910376446,High,Tier 1: High-Cost State,2,2242.562929061785,"Freehold_Semi D, Terrace House, Bungalow",0,High_Volume
BERIS MERAGA,Kijal,Terengganu,Freehold,"Semi D, Terrace House",320000.0,126.0,81,3902.439024390244,1,Low,1,0,12.676079399771027,4.844187086458591,Low,Tier 2: Medium-Cost State,2,2539.6825396825398,"Freehold_Semi D, Terrace House",0,High_Volume
BAYU SUTERA - PRECINCT 3B,Jimah,Negeri Sembilan,Freehold,Terrace House,675888.0,483.0,80,8344.296296296296,1,High,1,0,13.42378414035918,6.182084906716632,Medium,Tier 2: Medium-Cost State,2,1399.3540372670807,Freehold_Terrace House,0,High_Volume
BANDAR IOI,Segamat,Johor,Freehold,Terrace House,349350.0,208.0,80,4312.962962962963,1,Low,1,0,12.763832426435352,5.342334251964811,Low,Tier 1: High-Cost State,2,1679.5673076923076,Freehold_Terrace House,0,High_Volume
BANDAR COUNTRY HOMES,Rawang,Selangor,Freehold,"Terrace House, Semi D",420000.0,313.0,79,5250.0,1,Medium,1,0,12.948012371209098,5.749392985908253,Medium,Tier 1: High-Cost State,2,1341.85303514377,"Freehold_Terrace House, Semi D",0,High_Volume
Setia Sky 88,Johor Bahru,Johor,Freehold,Service Residence,1386800.0,1270.0,79,17335.0,1,High,1,0,14.142510213877257,7.147559271189454,High,Tier 1: High-Cost State,2,1091.9685039370079,Freehold_Service Residence,0,High_Volume
PER. PERMATANG BADAK PERDANA (PL 177521),Kuantan,Pahang,Leasehold,Terrace House,325000.0,232.0,78,4113.9240506329115,1,Medium,0,0,12.691583538230217,5.4510384535657,High,Tier 3: Low-Cost State,2,1400.8620689655172,Leasehold_Terrace House,0,High_Volume
